???国际空间站,#genre#
国际空间站,http://dns.yiandrive.com:15907/bilibili/9196015

??經典影视轮播,#genre# 
Y+剧场,http://hms3659nc3747353871.live.aikan.miguvideo.com/PLTV/88888888/224/3221230226/1.m3u8?tenantId=8601&accountinfo=~~V2.0~SSxnh2gPZaV_9wZMz86ofwc38bf04ecfc078f584095a9c6e91b9e1~3twbaBwUaqzfkJ5qW9C0gp1C11OJXhanim-P8XrfoHFX-jV3R0FL2wbo-VR8pOhzd5938d01ed8f640cebb709a281e7b1d3~ExtInfo9W1qynAo8QtSBzK-JlHBbQ3bb1f3410d135b117fdf58086980a86d:20240603131532:UTC,c864060416ccf5986b3e5940417477879245774,117.148.130.144,20240603131532,4444444684,c864060416ccf5986b3e5940417477879245774,-1,0,1,,,2,1000000201,,,2,23,0,241,9ec0a2dcdcfd4259318d50a38cde552c,,,1,1,140151867,END&fbl=$超清
華诚影视,http://120.76.248.139/live/bfgd/4200000289.m3u8
經典影視輪播,http://i.880824.xyz:35455/douyu/12143858
經典影視台,http://i.880824.xyz:35455/douyu/6091425
邵氏電影,http://120.76.248.139/live/lunbo/ssdy.m3u8
邵氏影院,http://i.880824.xyz:35455/douyu/
邵氏影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映經典,http://php.jdshipin.com/smt.php?id=Celestial2
美亞电影[国],http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8?tid=MFEF1001328410013284&ct=19226&tsum=9839709ca0f37641c5d1ba962c3bc739
美亚电影[国],http://108.181.20.197/livehttpplay?channel_id=20197
美亞电影[粤],http://108.181.20.197/livehttpplay?channel_id=20197
東森電影,http://j.s.bkpcp.top/jj/dsdy
龍華電影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
緯來電影,http://122.117.71.103:8554/http/220.130.87.218:8081/hls/69/811/ch035.m3u8
緯來電影,http://108.181.20.197/livehttpplay?channel_id=20199
龍祥時代,http://j.s.bkpcp.top/jj/lxsd
龍祥時代,http://108.181.20.197/livehttpplay?channel_id=20114
FGM電影,http://108.181.20.197/livehttpplay?channel_id=10123

功夫(國)1,http://j.s.bkpcp.top/jj/gft
功夫(國),http://goo.bkpcp.top/mg/gft
星河(國),http://j.s.bkpcp.top/jj/xht3
星河(國)a,http://j.s.bkpcp.top/jj/xht1
龍華偶像,http://j.s.bkpcp.top/jj/lhox
龍華戏劇,http://j.s.bkpcp.top/jj/lhxj

经典回顾,http://itv.91tvb.cc:80/2024/huya.php?id=21059529
中国电影,http://go1.bkpcp.top/tl/null-6
红色經典,http://luobo.bkpcp.top/huya/11602076
红色經典,http://itv.91tvb.cc:80/2024/huya.php?id=11602076
有品电影,http://luobo.bkpcp.top/yy/1354936229
港影回忆,http://luobo.bkpcp.top/yy/1382851590
经典怀旧,http://luobo.bkpcp.top/yy/1382793140
怀旧電影,http://luobo.bkpcp.top/yy/1351186084
星光视界频道,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv

??經典剧场,#genre#

家庭剧场,http://gdctyuncdnct.inter.ptqy.gitv.tv:80/tslive/c54_fast_877_720P_t10/c54_fast_877_720P_t10.m3u8?d 
怀旧年代,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_883_720P_t10/c57_fast_883_720P_t10.m3u8?d 
都市生活,http://bscloudcdnct.inter.ptqy.gitv.tv:80/tslive/c56_fast_878_720P_t10/c56_fast_878_720P_t10.m3u8?d 
传奇剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c54_fast_1052_720P_t10/c54_fast_1052_720P_t10.m3u8?d 
警匪悬疑,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c58_fast_880_720P_t10/c58_fast_880_720P_t10.m3u8?d 
古装剧场,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c55_fast_879_720P_t10/c55_fast_879_720P_t10.m3u8?d 
抗战剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c54_fast_884_720P_t10/c54_fast_884_720P_t10.m3u8?d 
谍战剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_882_720P_t10/c57_fast_882_720P_t10.m3u8?d 
欢乐剧场,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c56_fast_951_720P_t10/c56_fast_951_720P_t10.m3u8?d 
经典老剧,http://gdctyuncdnct.inter.ptqy.gitv.tv:80/tslive/c55_fast_1051_720P_t10/c55_fast_1051_720P_t10.m3u8?d 
乡村剧场,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c59_fast_1050_720P_t10/c59_fast_1050_720P_t10.m3u8?d 
电影大片,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_738_720P_t10/c57_fast_738_720P_t10.m3u8?d 
爆笑综艺,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_954_720P_t10/c57_fast_954_720P_t10.m3u8?d 
智勇闯关,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1027_720P_t10/c60_fast_1027_720P_t10.m3u8?d 
相声小品,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c59_fast_1044_720P_t10/c59_fast_1044_720P_t10.m3u8?d 
中国通史,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1029_720P_t10/c60_fast_1029_720P_t10.m3u8?d 
世界历史,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1026_720P_t10/c60_fast_1026_720P_t10.m3u8?d 
传奇故事,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1037_720P_t10/c60_fast_1037_720P_t10.m3u8?d 
经典传奇,http://gdctyuncdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1036_720P_t10/c60_fast_1036_720P_t10.m3u8?d 
纪实档案,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1034_720P_t10/c60_fast_1034_720P_t10.m3u8?d 
第三调解室,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1033_720P_t10/c60_fast_1033_720P_t10.m3u8?d 
金牌调解,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c59_fast_1039_720P_t10/c59_fast_1039_720P_t10.m3u8?d 

??虎牙影视輪播,#genre# 


电影_星爷,http://luobo.bkpcp.top/huya/11342412
电影_周星,http://luobo.bkpcp.top/douyu/122402 
电影_星爷（粤）,http://luobo.bkpcp.top/huya/11336587 
电影_周星驰,http://luobo.bkpcp.top/yy/1354658049 
电影_周星驰1,http://luobo.bkpcp.top/yy/1382736808 
电影_英叔,http://luobo.bkpcp.top/huya/11342421
电影_发哥,http://luobo.bkpcp.top/huya/11342387 
电影_周润发,http://luobo.bkpcp.top/yy/1354889044 
电影_成龙,http://luobo.bkpcp.top/huya/11342386
电影_刘德华,http://luobo.bkpcp.top/huya/11342424
电影_刘德华1,http://luobo.bkpcp.top/yy/1382745111
电影_李连杰,http://luobo.bkpcp.top/huya/11342390
电影_洪金宝,http://luobo.bkpcp.top/huya/11279251
电影_洪金宝1,http://luobo.bkpcp.top/yy/1354924839 
电影_梁家辉,http://luobo.bkpcp.top/huya/11342429 
电影_王晶,http://luobo.bkpcp.top/huya/11602058
电影_吴京,http://luobo.bkpcp.top/huya/11602041 
电影_沈腾,http://luobo.bkpcp.top/huya/11601968 
电影_黄渤,http://luobo.bkpcp.top/huya/11352876
电影_徐克,http://luobo.bkpcp.top/huya/11352909
电影_邓超,http://luobo.bkpcp.top/huya/11336592
电影_徐峥,http://luobo.bkpcp.top/huya/11602043
电影_古天乐,http://luobo.bkpcp.top/huya/11352935
